State,state_fips,population_total,median_household_income,unemployment_rate_percent,educ_25plus_total,education_less_than_9th_count,education_less_than_9th_percent,education_ninth_to_twelfth_no_diploma_count,education_ninth_to_twelfth_no_diploma_percent,education_high_school_grad_count,education_high_school_grad_percent,education_some_college_no_degree_count,education_some_college_no_degree_percent,education_associates_count,education_associates_percent,education_bachelors_count,education_bachelors_percent,education_grad_professional_count,education_grad_professional_percent
Vermont,50,647464,81211,2.6111057906270596,471255,2831,0.6007363317100084,204,0.043288665,1031,0.21877751960191405,5109,1.0841264283668077,3657,0.7760129865996117,4664,0.9896977220400844,131322,27.866441735366205
Idaho,16,1964726,74942,3.592974681133022,1305704,18568,1.4220680950659568,4469,0.3422674664395606,8886,0.6805524069773854,17200,1.3172970290356774,13528,1.0360694307438747,15623,1.196519272361883,362713,27.77911379608242
Illinois,17,12549689,80306,4.719960871,8710996,187043,2.147205669707574,41063,0.47139270870977323,94774,1.0879812136293026,129093,1.4819545319501926,85402,0.980393057,116112,1.3329359811438326,2373516,27.24735495229248
Connecticut,09,3617176,91665,4.594889379948432,2559922,39757,1.5530551321485575,15668,0.6120498983953417,22477,0.8780345651156559,38306,1.4963737176367093,21276,0.8311190731592604,29771,1.1629651215935486,697368,27.241767522604203
New Jersey,34,9290841,99781,4.731033422838887,6511081,136763,2.1004653451554356,48745,0.7486468068819908,68540,1.0526669841766674,96268,1.4785256088812289,53909,0.8279577538660632,70111,1.0767950821069496,1772009,27.215281149167087
New Mexico,35,2114371,62268,4.798500355623063,1471057,31834,2.164022196284712,13501,0.9177754498975907,26445,1.7976869693016655,36369,2.4723039283997834,21887,1.4878417355683702,25803,1.7540448806538427,397514,27.022338359424552
Kansas,20,2940547,70333,3.264700875964019,1956252,27956,1.4290592418563661,8468,0.43286856703533083,11501,0.5879099420729027,34134,1.7448672256948492,21282,1.0878966513516664,25635,1.3104139957428798,524409,26.806822433919557
New York,36,19571216,82095,5.012532493757498,13885155,409137,2.946578558179581,116055,0.8358207020375357,151601,1.0918207250837315,278007,2.002188668401613,162577,1.170869176469402,177772,1.2803025965500565,3692296,26.59168010728004
Texas,48,30503301,75780,4.394172351,20029447,593529,2.9632820117300294,218681,1.0917974919627087,405985,2.026940633957593,539488,2.6934742631686235,259479,1.2954875888485589,301631,1.5059377325794365,5270493,26.313721991425925
Nebraska,31,1978379,74590,2.653167700469559,1307246,25189,1.926875278256732,6071,0.46441144206981705,10735,0.821192033,13768,1.0532065120107463,9451,0.7229702749138265,12970,0.9921621485168055,342026,26.163858982930527
North Carolina,37,10835491,70804,4.032363126997053,7487552,118762,1.5861258793261137,34558,0.46153936560307024,68501,0.9148650987665929,150247,2.006623793731249,111314,1.4866541160582256,105374,1.4073224466421068,1948814,26.027385185438444
Maryland,24,6180253,98678,3.974385377,4297439,97262,2.2632549292729927,18530,0.43118703953680326,37101,0.8633281356640549,60649,1.4112823940025676,44629,1.038502233539557,38631,0.8989307352588367,1108557,25.79575882287102
Virginia,51,8715698,89931,3.6726422496074296,6037339,100962,1.6722930416860806,23791,0.39406433861010626,46216,0.7655028150647164,93856,1.5545921804291591,78382,1.2982872089839579,76836,1.272679900863609,1548502,25.648750219260506
Arizona,04,7431344,77315,4.253126020903723,5150254,108791,2.112342420393247,26597,0.5164211318509728,62513,1.2137847958566703,104303,2.0252010871696813,57249,1.1115762445891018,71982,1.3976398057260866,1318381,25.598368546483343
North Dakota,38,783926,76525,2.863640132178939,520006,4657,0.8955665896162736,71,0.013653688611285254,565,0.10865259247008689,7786,1.4972904158798168,4280,0.823067426,4837,0.9301815748279827,132802,25.538551478252174
Minnesota,27,5737915,85086,3.0424860248570678,3941575,61230,1.5534399320068752,8058,0.20443604396719584,10795,0.2738752909687117,35938,0.9117675041068609,24105,0.6115575626494485,33839,0.8585146800454133,969536,24.597679861476692
Massachusetts,25,7001399,99858,3.942813633891204,4975152,102903,2.0683388165828904,41076,0.8256230161410144,36667,0.7370026081615194,77115,1.5500028943839304,43796,0.8802947126037556,46015,0.9248963649753817,1215772,24.436881526433766
Oregon,41,4233358,80160,4.124506334893277,3050675,48157,1.578568677423849,13522,0.44324616683193063,22647,0.7423602973112507,39876,1.3071205552869447,29945,0.981586042,32885,1.0779581568013636,730371,23.94129168134921
Utah,49,3417734,93421,3.334728095588684,2085019,32108,1.5399380053611023,5797,0.2780310395252993,16546,0.7935659099509406,20953,1.0049308903180258,15957,0.7653167668975679,18695,0.8966345150811575,496123,23.79465127176299
Washington,53,7812880,94605,4.481692498,5511197,91319,1.6569721604943535,23895,0.43357187195449554,42420,0.7697057463197197,59512,1.0798380097826297,44639,0.8099692317295135,57848,1.0496449319449115,1290031,23.407455766868797
California,06,38965193,95521,5.516376425939725,26969649,1031981,3.826453210421834,389392,1.4438156017529187,685526,2.5418424985805337,622176,2.3069488223595345,269377,0.9988153720502629,334480,1.2402089474727684,6266484,23.235319080348432
Colorado,08,5877610,92911,3.7953254396327263,4135123,60270,1.457514081201454,14508,0.35084808843654713,29603,0.7158916433682868,44643,1.0796051290372741,26118,0.6316136182648013,42569,1.0294494262927607,859030,20.773989068765307
District of Columbia,11,678972,108210,5.258938671125756,482919,6567,1.3598553794735762,3051,0.6317829698148137,4451,0.9216866596675634,4081,0.8450692559207652,2749,0.569246602,6625,1.3718656751960474,70773,14.655252744249037
Nevada,32,3194176,76364,4.562591239868964,2253253,68815,3.0540289971876216,13302,0.5903464901633327,30062,1.334159990023313,33769,1.4986776895448493,24078,1.0685883919826136,31341,1.3909223686820789,679910,30.17459646

